id,created_at,text
861200933031739393,2017-05-07 12:47:57,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861200733395230720,2017-05-07 12:47:09,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861200715842109441,2017-05-07 12:47:05,b'Crumbling havelis of Shekhawati at the hands of modernity. #Rajasthan #Architecture #BackToMyRoots \n\nP.S.: A3 print\xe2\x80\xa6 https://t.co/OvAvKheQXG'
861198903093473280,2017-05-07 12:39:53,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861198852807954433,2017-05-07 12:39:41,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861198765570629632,2017-05-07 12:39:20,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861198098336329731,2017-05-07 12:36:41,"b'RT @ashokgehlot51: It is very painful to know six children have lost lives in a tragic road accident in #Sawaimadhopur, #Rajasthan.. https:\xe2\x80\xa6'"
861197956896006144,2017-05-07 12:36:07,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861196726136451072,2017-05-07 12:31:14,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861196497135837189,2017-05-07 12:30:19,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861196338935078913,2017-05-07 12:29:42,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861196124949889024,2017-05-07 12:28:51,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861195613102370816,2017-05-07 12:26:49,b'RT @ashokgehlot51: I congratulate Avinash Pandey ji for becoming General Secretary incharge\xe2\x80\x8b of #Rajasthan Cong.Wish him all success in thi\xe2\x80\xa6'
861195472500928512,2017-05-07 12:26:15,"b'@MoHFW_INDIA Important role of #LABTEChs   also in #PMSMA , who invesgate HIV,VDRL,BTCT,HB,SUGAR,OTHERS\nSo\xe2\x80\xa6 https://t.co/U7IOa7Scoe'"
861194840662396928,2017-05-07 12:23:44,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861194790066561026,2017-05-07 12:23:32,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861194370476670976,2017-05-07 12:21:52,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861194284233621506,2017-05-07 12:21:32,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861194134681473024,2017-05-07 12:20:56,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
